city,temp_c,temp_f,feelslike_c,humidity,wind_kph,pressure_mb,cloud,uv,condition,temp_category,humidity_level,wind_level,cloud_level,timestamp,record_no,temp_change,trend,avg_temp,max_temp,min_temp,condition_count,most_common_condition,alerts
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:03,44,0.0,Stable,22.01,22.2,22.0,44,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:09,45,0.0,Stable,22.01,22.2,22.0,45,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:16,46,0.0,Stable,22.01,22.2,22.0,46,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:22,47,0.0,Stable,22.01,22.2,22.0,47,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:29,48,0.0,Stable,22.01,22.2,22.0,48,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:35,49,0.0,Stable,22.01,22.2,22.0,49,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:41,50,0.0,Stable,22.01,22.2,22.0,50,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:48,51,0.0,Stable,22.01,22.2,22.0,51,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:25:55,52,0.0,Stable,22.01,22.2,22.0,52,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:26:02,53,0.0,Stable,22.01,22.2,22.0,53,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:26:08,54,0.0,Stable,22.01,22.2,22.0,54,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:26:15,55,0.0,Stable,22.01,22.2,22.0,55,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:01,1,0,No previous data,22.0,22.0,22.0,1,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:07,2,0.0,Stable,22.0,22.0,22.0,2,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:13,3,0.0,Stable,22.0,22.0,22.0,3,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:19,4,0.0,Stable,22.0,22.0,22.0,4,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:25,5,0.0,Stable,22.0,22.0,22.0,5,Clear,No alert
